,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Ederson,G,1,May 14,MCI,@TOT,W 2-0,16.0,68,1
1,Ederson,G,1,May 11,MCI,@FUL,W 4-0,13.5,90,1
2,Ederson,G,1,May 4,MCI,WOL,W 5-1,5.0,90,1
3,Ederson,G,1,Apr 28,MCI,@NOT,W 2-0,5.5,45,1
4,Ederson,G,1,Apr 25,MCI,@BHA,W 4-0,17.5,90,1
5,Ederson,G,1,Apr 13,MCI,LUT,W 5-1,4.5,90,1
6,Ederson,G,1,Mar 10,MCI,@LIV,T 1-1,2.0,55,1
7,Ederson,G,1,Mar 3,MCI,MUN,W 3-1,6.0,90,1
8,Ederson,G,1,Feb 24,MCI,@BOU,W 1-0,19.0,90,1
9,Ederson,G,1,Feb 20,MCI,BRF,W 1-0,15.0,90,1
10,Ederson,G,1,Feb 17,MCI,CHE,T 1-1,10.5,90,1
11,Ederson,G,1,Feb 10,MCI,EVE,W 2-0,14.0,90,1
12,Ederson,G,1,Feb 5,MCI,@BRF,W 3-1,5.0,90,1
13,Ederson,G,1,Jan 31,MCI,BUR,W 3-1,5.0,90,1
14,Ederson,G,1,Jan 13,MCI,@NEW,W 3-2,1.0,7,1
15,Ederson,G,1,Dec 30,MCI,SHU,W 2-0,15.0,90,1
16,Ederson,G,1,Dec 27,MCI,@EVE,W 3-1,4.5,90,1
17,Ederson,G,1,Dec 16,MCI,CRY,T 2-2,0.5,90,1
18,Ederson,G,1,Dec 10,MCI,@LUT,W 2-1,4.5,90,1
19,Ederson,G,1,Dec 6,MCI,@AVL,L 0-1,12.0,90,1
20,Ederson,G,1,Dec 3,MCI,TOT,T 3-3,3.5,90,1
21,Ederson,G,1,Nov 25,MCI,LIV,T 1-1,7.0,90,1
22,Ederson,G,1,Nov 12,MCI,@CHE,T 4-4,10.0,90,1
23,Ederson,G,1,Nov 4,MCI,BOU,W 6-1,3.0,90,1
24,Ederson,G,1,Oct 29,MCI,@MUN,W 3-0,16.5,90,1
25,Ederson,G,1,Oct 8,MCI,@ARS,L 0-1,4.0,90,1
26,Ederson,G,1,Sep 30,MCI,@WOL,L 1-2,2.5,90,1
27,Ederson,G,1,Sep 23,MCI,NOT,W 2-0,15.0,90,1
28,Ederson,G,1,Sep 16,MCI,@WHU,W 3-1,6.0,90,1
29,Ederson,G,1,Sep 2,MCI,FUL,W 5-1,7.5,90,1
30,Ederson,G,1,Aug 27,MCI,@SHU,W 2-1,4.5,90,1
31,Ederson,G,1,Aug 19,MCI,NEW,W 1-0,15.5,90,1
32,Ederson,G,1,Aug 11,MCI,@BUR,W 3-0,13.5,90,1
33,Stefan Ortega Moreno,G,1,May 19,MCI,WHU,W 3-1,5.0,90,1
34,Stefan Ortega Moreno,G,1,May 14,MCI,@TOT,W 2-0,5.5,20,0
35,Stefan Ortega Moreno,G,1,Apr 28,MCI,@NOT,W 2-0,3.0,45,0
36,Stefan Ortega Moreno,G,1,Apr 6,MCI,@CRY,W 4-2,6.5,90,1
37,Stefan Ortega Moreno,G,1,Apr 3,MCI,AVL,W 4-1,6.0,90,1
38,Stefan Ortega Moreno,G,1,Mar 31,MCI,ARS,T 0-0,16.0,90,1
39,Stefan Ortega Moreno,G,1,Mar 10,MCI,@LIV,T 1-1,7.0,33,0
40,Stefan Ortega Moreno,G,1,Jan 13,MCI,@NEW,W 3-2,6.5,81,0
41,Stefan Ortega Moreno,G,1,Oct 21,MCI,BHA,W 2-1,6.0,90,1
42,Kyle Walker,D,2,May 19,MCI,WHU,W 3-1,9.7,90,1
43,Kyle Walker,D,2,May 14,MCI,@TOT,W 2-0,15.35,90,1
44,Kyle Walker,D,2,May 11,MCI,@FUL,W 4-0,11.5,67,0
45,Kyle Walker,D,2,May 4,MCI,WOL,W 5-1,5.0,90,1
46,Kyle Walker,D,2,Apr 28,MCI,@NOT,W 2-0,16.75,90,1
47,Kyle Walker,D,2,Apr 25,MCI,@BHA,W 4-0,26.25,78,1
48,Kyle Walker,D,2,Mar 10,MCI,@LIV,T 1-1,11.8,90,1
49,Kyle Walker,D,2,Mar 3,MCI,MUN,W 3-1,8.35,90,1
50,Kyle Walker,D,2,Feb 20,MCI,BRF,W 1-0,11.6,90,1
51,Kyle Walker,D,2,Feb 17,MCI,CHE,T 1-1,14.05,90,1
52,Kyle Walker,D,2,Feb 10,MCI,EVE,W 2-0,3.25,32,0
53,Kyle Walker,D,2,Feb 5,MCI,@BRF,W 3-1,9.85,90,1
54,Kyle Walker,D,2,Jan 13,MCI,@NEW,W 3-2,17.0,90,1
55,Kyle Walker,D,2,Dec 30,MCI,SHU,W 2-0,10.95,67,1
56,Kyle Walker,D,2,Dec 27,MCI,@EVE,W 3-1,7.5,90,1
57,Kyle Walker,D,2,Dec 16,MCI,CRY,T 2-2,9.2,90,1
58,Kyle Walker,D,2,Dec 10,MCI,@LUT,W 2-1,8.75,90,1
59,Kyle Walker,D,2,Dec 6,MCI,@AVL,L 0-1,6.55,90,1
60,Kyle Walker,D,2,Dec 3,MCI,TOT,T 3-3,8.0,90,1
61,Kyle Walker,D,2,Nov 25,MCI,LIV,T 1-1,9.45,90,1
62,Kyle Walker,D,2,Nov 12,MCI,@CHE,T 4-4,5.7,90,1
63,Kyle Walker,D,2,Nov 4,MCI,BOU,W 6-1,6.1,90,1
64,Kyle Walker,D,2,Oct 29,MCI,@MUN,W 3-0,21.6,90,1
65,Kyle Walker,D,2,Oct 21,MCI,BHA,W 2-1,6.6,90,1
66,Kyle Walker,D,2,Oct 8,MCI,@ARS,L 0-1,8.2,90,1
67,Kyle Walker,D,2,Sep 30,MCI,@WOL,L 1-2,5.25,90,1
68,Kyle Walker,D,2,Sep 23,MCI,NOT,W 2-0,18.95,90,1
69,Kyle Walker,D,2,Sep 16,MCI,@WHU,W 3-1,10.2,90,1
70,Kyle Walker,D,2,Sep 2,MCI,FUL,W 5-1,6.6,90,1
71,Kyle Walker,D,2,Aug 27,MCI,@SHU,W 2-1,11.1,90,1
72,Kyle Walker,D,2,Aug 19,MCI,NEW,W 1-0,14.25,90,1
73,Kyle Walker,D,2,Aug 11,MCI,@BUR,W 3-0,14.1,88,1
74,Rico Lewis,D,2,May 11,MCI,@FUL,W 4-0,1.0,7,0
75,Rico Lewis,D,2,Apr 25,MCI,@BHA,W 4-0,1.0,10,0
76,Rico Lewis,D,2,Apr 13,MCI,LUT,W 5-1,9.5,90,1
77,Rico Lewis,D,2,Apr 6,MCI,@CRY,W 4-2,17.5,90,1
