,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Mark Flekken,G,1,May 19,BRF,NEW,L 2-4,6.0,90,1
1,Mark Flekken,G,1,May 11,BRF,@BOU,W 2-1,9.5,90,1
2,Mark Flekken,G,1,May 4,BRF,FUL,T 0-0,16.5,90,1
3,Mark Flekken,G,1,Apr 27,BRF,@EVE,L 0-1,5.5,90,1
4,Mark Flekken,G,1,Apr 20,BRF,@LUT,W 5-1,6.5,90,1
5,Mark Flekken,G,1,Apr 13,BRF,SHU,W 2-0,17.0,90,1
6,Mark Flekken,G,1,Apr 6,BRF,@AVL,T 3-3,3.5,90,1
7,Mark Flekken,G,1,Apr 3,BRF,BHA,T 0-0,25.5,90,1
8,Mark Flekken,G,1,Mar 30,BRF,MUN,T 1-1,11.0,90,1
9,Mark Flekken,G,1,Mar 16,BRF,@BUR,L 1-2,9.0,90,1
10,Mark Flekken,G,1,Mar 9,BRF,@ARS,L 1-2,11.5,90,1
11,Mark Flekken,G,1,Mar 2,BRF,CHE,T 2-2,8.0,90,1
12,Mark Flekken,G,1,Feb 26,BRF,@WHU,L 2-4,4.5,90,1
13,Mark Flekken,G,1,Feb 20,BRF,@MCI,L 0-1,17.0,90,1
14,Mark Flekken,G,1,Feb 17,BRF,LIV,L 1-4,7.5,90,1
15,Mark Flekken,G,1,Feb 10,BRF,@WOL,W 2-0,18.5,90,1
16,Mark Flekken,G,1,Feb 5,BRF,MCI,L 1-3,22.5,90,1
17,Mark Flekken,G,1,Jan 31,BRF,@TOT,L 2-3,5.5,90,1
18,Mark Flekken,G,1,Jan 20,BRF,NOT,W 3-2,4.5,90,1
19,Mark Flekken,G,1,Dec 30,BRF,@CRY,L 1-3,7.5,90,1
20,Mark Flekken,G,1,Dec 27,BRF,WOL,L 1-4,3.0,90,1
21,Mark Flekken,G,1,Dec 17,BRF,AVL,L 1-2,7.5,90,1
22,Mark Flekken,G,1,Dec 9,BRF,@SHU,L 0-1,8.5,90,1
23,Mark Flekken,G,1,Dec 6,BRF,@BHA,L 1-2,10.5,90,1
24,Mark Flekken,G,1,Dec 2,BRF,LUT,W 3-1,3.0,90,1
25,Mark Flekken,G,1,Nov 25,BRF,ARS,L 0-1,9.0,90,1
26,Mark Flekken,G,1,Nov 12,BRF,@LIV,L 0-3,14.5,90,1
27,Mark Flekken,G,1,Nov 4,BRF,WHU,W 3-2,1.0,45,1
28,Mark Flekken,G,1,Oct 28,BRF,@CHE,W 2-0,15.0,90,1
29,Mark Flekken,G,1,Oct 21,BRF,BUR,W 3-0,13.5,90,1
30,Mark Flekken,G,1,Oct 1,BRF,@NOT,T 1-1,3.0,90,1
31,Mark Flekken,G,1,Sep 23,BRF,EVE,L 1-3,8.0,90,1
32,Mark Flekken,G,1,Sep 16,BRF,@NEW,L 0-1,5.5,90,1
33,Mark Flekken,G,1,Sep 2,BRF,BOU,T 2-2,8.5,90,1
