,player,position,position_id,date,team,opp,score,fpts,min,starts
0,Nick Pope,G,1,May 19,NEW,@BRF,W 4-2,5.0,90,1
1,Nick Pope,G,1,Dec 2,NEW,MUN,W 1-0,13.0,85,1
2,Nick Pope,G,1,Nov 25,NEW,CHE,W 4-1,7.5,90,1
3,Nick Pope,G,1,Nov 11,NEW,@BOU,L 0-2,18.0,90,1
4,Nick Pope,G,1,Nov 4,NEW,ARS,W 1-0,14.0,90,1
5,Nick Pope,G,1,Oct 28,NEW,@WOL,T 2-2,9.0,90,1
6,Nick Pope,G,1,Oct 21,NEW,CRY,W 4-0,17.5,90,1
7,Nick Pope,G,1,Oct 8,NEW,@WHU,T 2-2,5.0,90,1
8,Nick Pope,G,1,Sep 30,NEW,BUR,W 2-0,15.0,90,1
9,Nick Pope,G,1,Sep 24,NEW,@SHU,W 8-0,14.5,90,1
10,Nick Pope,G,1,Sep 16,NEW,BRF,W 1-0,16.0,90,1
11,Nick Pope,G,1,Sep 2,NEW,@BHA,L 1-3,8.5,90,1
12,Nick Pope,G,1,Aug 27,NEW,LIV,L 1-2,7.5,90,1
13,Nick Pope,G,1,Aug 19,NEW,@MCI,L 0-1,8.0,90,1
14,Nick Pope,G,1,Aug 12,NEW,AVL,W 5-1,10.5,90,1
15,Martin Dubravka,G,1,May 15,NEW,@MUN,L 2-3,11.0,90,1
16,Martin Dubravka,G,1,May 11,NEW,BHA,T 1-1,7.5,90,1
17,Martin Dubravka,G,1,May 4,NEW,@BUR,W 4-1,9.0,90,1
18,Martin Dubravka,G,1,Apr 27,NEW,SHU,W 5-1,7.5,90,1
19,Martin Dubravka,G,1,Apr 24,NEW,@CRY,L 0-2,10.5,90,1
20,Martin Dubravka,G,1,Apr 13,NEW,TOT,W 4-0,15.5,90,1
21,Martin Dubravka,G,1,Apr 6,NEW,@FUL,W 1-0,19.5,90,1
22,Martin Dubravka,G,1,Apr 2,NEW,EVE,T 1-1,6.0,90,1
23,Martin Dubravka,G,1,Mar 30,NEW,WHU,W 4-3,3.5,90,1
24,Martin Dubravka,G,1,Mar 11,NEW,@CHE,L 2-3,8.0,90,1
25,Martin Dubravka,G,1,Mar 2,NEW,WOL,W 3-0,17.5,90,1
26,Martin Dubravka,G,1,Feb 17,NEW,BOU,T 2-2,10.0,90,1
27,Martin Dubravka,G,1,Feb 10,NEW,@NOT,W 3-2,4.5,90,1
28,Martin Dubravka,G,1,Feb 3,NEW,LUT,T 4-4,7.5,90,1
29,Martin Dubravka,G,1,Jan 30,NEW,@AVL,W 3-1,10.0,90,1
30,Martin Dubravka,G,1,Jan 13,NEW,MCI,L 2-3,15.0,90,1
31,Martin Dubravka,G,1,Jan 1,NEW,@LIV,L 2-4,20.5,90,1
32,Martin Dubravka,G,1,Dec 26,NEW,NOT,L 1-3,8.5,90,1
33,Martin Dubravka,G,1,Dec 23,NEW,@LUT,L 0-1,9.0,90,1
34,Martin Dubravka,G,1,Dec 16,NEW,FUL,W 3-0,18.0,90,1
35,Martin Dubravka,G,1,Dec 10,NEW,@TOT,L 1-4,12.0,90,1
36,Martin Dubravka,G,1,Dec 7,NEW,@EVE,L 0-3,7.5,90,1
37,Martin Dubravka,G,1,Dec 2,NEW,MUN,W 1-0,2.0,3,0
38,Loris Karius,G,1,Feb 24,NEW,@ARS,L 1-4,8.0,90,1
39,Kieran Trippier,D,2,May 19,NEW,@BRF,W 4-2,1.5,8,0
40,Kieran Trippier,D,2,May 15,NEW,@MUN,L 2-3,5.85,62,1
41,Kieran Trippier,D,2,May 11,NEW,BHA,T 1-1,0.5,1,0
42,Kieran Trippier,D,2,Mar 2,NEW,WOL,W 3-0,5.2,51,1
43,Kieran Trippier,D,2,Feb 24,NEW,@ARS,L 1-4,4.8,90,1
44,Kieran Trippier,D,2,Feb 17,NEW,BOU,T 2-2,9.1,90,1
45,Kieran Trippier,D,2,Feb 10,NEW,@NOT,W 3-2,15.2,90,1
